class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.470042408,0.416083992,-0.83969909,0.999914527,0.476033211,0.40325892,-0.839284778,0.99979496,0.480283171,0.401177019,-0.839273632,0.999766886,0.484722793,0.399047583,-0.83946383,0.999745905,0.463882715,0.402573496,-0.83797735,0.999812722,0.459728897,0.400488883,-0.838115215,0.999810517,0.455771834,0.398804307,-0.838202059,0.999808013,0.491250634,0.382373095,-0.711131155,0.999608099,0.446939319,0.385919422,-0.704528868,0.999791145,0.476382405,0.417476028,-0.781056225,0.999880016,0.461904973,0.416224837,-0.779369116,0.999872327,0.527550817,0.411027163,-0.502227664,0.999872804,0.411133647,0.404253155,-0.523059189,0.999927998,0.533426166,0.506991029,-0.439894706,0.916347742,0.393773675,0.564086378,-0.52082926,0.972364247,0.542259276,0.614109278,-0.482044667,0.794833362,0.389146686,0.740384281,-0.597889483,0.887239635,0.541086078,0.626469195,-0.507090867,0.667384565,0.372467458,0.75455898,-0.637516737,0.766670763,0.545361698,0.654728472,-0.535258949,0.702598512,0.389944404,0.770742714,-0.669900298,0.790312827,0.537661135,0.64680016,-0.49373883,0.686365128,0.399175972,0.753970921,-0.612477899,0.791360974,0.501823783,0.507033288,0.004373333,0.99991262,0.434787482,0.500418246,-0.004368322,0.999886692,0.516941786,0.626478374,-0.27531594,0.780488551,0.412119657,0.623335838,-0.301579446,0.848232388,0.544351518,0.804526687,-0.099361606,0.860840797,0.398640335,0.793053389,-0.094753183,0.876198947,0.535397172,0.833099604,-0.091934681,0.626262844,0.404360324,0.813722014,-0.083210766,0.585378706,0.559651136,0.861241817,-0.27520749,0.84964478,0.390183777,0.85816896,-0.266159505,0.854122519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.463889867,0.392450511,-0.828000665,0.99998039,0.470180124,0.375121057,-0.819192529,0.999957204,0.47446689,0.373433977,-0.819049954,0.999950886,0.478871644,0.371485204,-0.819160402,0.999943912,0.45852688,0.374739945,-0.819487154,0.999963343,0.454897732,0.373109877,-0.819678009,0.999964058,0.451417387,0.371348083,-0.819629014,0.999962449,0.486266345,0.362934172,-0.670078397,0.999918401,0.444390416,0.361220717,-0.672530532,0.999964952,0.470940769,0.398757011,-0.763363302,0.999970555,0.457210332,0.398189336,-0.764497221,0.999970615,0.524030864,0.412621409,-0.437675297,0.999955714,0.411370635,0.40318951,-0.455942124,0.999981761,0.543409884,0.504291534,-0.262662172,0.941728175,0.395403147,0.50757575,-0.292853832,0.956353724,0.539632499,0.567298234,-0.217654943,0.838455141,0.390743792,0.574779212,-0.226876572,0.892896831,0.541863382,0.587606132,-0.216861129,0.722543597,0.386984468,0.59730953,-0.231504276,0.791928768,0.535157323,0.584102571,-0.249197528,0.749139428,0.393896848,0.594117343,-0.264183104,0.80783397,0.529941022,0.575687587,-0.226618826,0.731169581,0.397098452,0.583773613,-0.236025542,0.802777112,0.504098356,0.514367223,0.002237584,0.999972463,0.43705973,0.513005435,-0.002182232,0.999962807,0.521205485,0.633617401,-0.22500512,0.912619472,0.411690742,0.635603607,-0.250115871,0.922126591,0.546950221,0.805839062,-0.073787056,0.945894837,0.394324809,0.794897735,-0.059603482,0.940611422,0.541690171,0.837375045,-0.068969674,0.811273873,0.400109023,0.815808475,-0.050046645,0.748556912,0.561740696,0.853403687,-0.255090505,0.941722989,0.398308873,0.858401656,-0.228242248,0.931546092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.463392466,0.39082244,-0.892068386,0.999981165,0.470078319,0.373238295,-0.883625925,0.999959648,0.47446242,0.371715575,-0.884058475,0.99995327,0.478859544,0.369793713,-0.884566128,0.999950111,0.457877696,0.372048557,-0.875746012,0.999959588,0.454080105,0.370105594,-0.87567234,0.999957144,0.45047769,0.367952436,-0.875774562,0.999956548,0.486270249,0.361019403,-0.720656753,0.999920487,0.444428653,0.358767509,-0.706882179,0.999942124,0.471699089,0.398150682,-0.820922315,0.999973357,0.456537753,0.397597045,-0.824794829,0.999971986,0.528694928,0.423373103,-0.53947413,0.999960303,0.409474969,0.411223233,-0.519228101,0.99996829,0.54893899,0.571403623,-0.557673573,0.952037096,0.392033041,0.551817,-0.514845967,0.958273292,0.553776801,0.74309516,-0.637126803,0.865494788,0.382333905,0.693802238,-0.593750775,0.893405259,0.574824333,0.754078567,-0.679457128,0.761375368,0.369291246,0.724255145,-0.632981122,0.794285953,0.5605703,0.79125154,-0.707594335,0.784634471,0.382581204,0.733656883,-0.66955471,0.810502648,0.548332512,0.773321331,-0.650446057,0.76755172,0.39181906,0.721242785,-0.610308349,0.803982794,0.506566286,0.524690509,0.001804362,0.99997431,0.437115729,0.522203624,-0.001796262,0.99995923,0.521387339,0.641585767,-0.348687887,0.910202503,0.412419289,0.637720287,-0.352447331,0.924900532,0.544381142,0.823733628,-0.125747845,0.949692488,0.396413684,0.796275258,-0.102545686,0.945508122,0.536509752,0.848829985,-0.113887161,0.803683758,0.402110249,0.819435239,-0.085603513,0.747029126,0.554910421,0.872684419,-0.316874564,0.943532288,0.401663989,0.85953021,-0.283474743,0.934977412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.464171439,0.380149096,-0.93061918,0.999978185,0.47185266,0.362445712,-0.911028028,0.999950767,0.476492763,0.361049682,-0.911079764,0.999941349,0.480930537,0.359363437,-0.91132772,0.999941349,0.458399802,0.361469626,-0.909110904,0.999940038,0.454316884,0.35901913,-0.909232259,0.999933958,0.450575322,0.357358456,-0.909311235,0.999933779,0.488417208,0.354683369,-0.742703199,0.999893188,0.445057809,0.354185492,-0.734991789,0.999870896,0.473355591,0.39078325,-0.862776816,0.999975026,0.456871361,0.388906389,-0.860683024,0.999972284,0.532571197,0.428327978,-0.580836833,0.999962389,0.407730103,0.422061473,-0.568020821,0.999946654,0.54678899,0.563159645,-0.629612863,0.960440874,0.388411015,0.575176537,-0.609579384,0.954549015,0.557614863,0.752657294,-0.741908312,0.879081726,0.387011945,0.771841407,-0.723848283,0.870901644,0.57189858,0.784510493,-0.799170077,0.777983844,0.372889042,0.815859973,-0.780467331,0.769671857,0.561267316,0.798049331,-0.827237129,0.798563898,0.39341262,0.822944582,-0.819162607,0.786910713,0.550154448,0.780345023,-0.756863415,0.781573236,0.401968092,0.804985464,-0.743345022,0.77931571,0.506613433,0.552964389,0.003034769,0.999970913,0.435943305,0.553801298,-0.002975495,0.99992919,0.516763568,0.645987153,-0.563498914,0.906650901,0.409308434,0.660210729,-0.503660738,0.914647043,0.540016294,0.839603543,-0.24274306,0.94402796,0.408215404,0.829301953,-0.197242022,0.940229297,0.53029108,0.866949439,-0.221512318,0.787290573,0.417149901,0.853531063,-0.177190542,0.729336143,0.550164104,0.893057227,-0.443512022,0.936338842,0.404880047,0.873799264,-0.403776377,0.925361872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.466450691,0.384110808,-0.932268143,0.999974668,0.474460036,0.367077649,-0.913485229,0.999938846,0.479226857,0.364446551,-0.913496852,0.999922156,0.483881116,0.361341059,-0.913725317,0.999928534,0.460521728,0.367073447,-0.911180735,0.999914467,0.455944836,0.36458382,-0.911304593,0.999898911,0.451712668,0.361783087,-0.911359727,0.999905705,0.491239786,0.355243415,-0.747582316,0.999857426,0.445044726,0.354768991,-0.73709929,0.99976635,0.475534052,0.394354373,-0.862532616,0.999977827,0.459169149,0.392705917,-0.859716237,0.999973774,0.535918295,0.436091393,-0.569083452,0.999966383,0.405635387,0.424139231,-0.550620735,0.99993062,0.550544679,0.58701545,-0.594276845,0.969338119,0.387412459,0.592927694,-0.553080738,0.944714844,0.560489714,0.769910276,-0.695951521,0.887918949,0.387703091,0.782051504,-0.658025146,0.830591023,0.574493468,0.80851841,-0.748137057,0.787008226,0.375202596,0.820157051,-0.708360255,0.726360023,0.563293278,0.814227641,-0.780717373,0.804250479,0.39539811,0.825557947,-0.753029048,0.744740427,0.554030895,0.802867711,-0.711820126,0.786729097,0.402379483,0.808330238,-0.679015994,0.736636877,0.504263461,0.582814574,0.000245358,0.999960721,0.431553215,0.582403779,-0.000169319,0.999878407,0.522523761,0.711099744,-0.531382024,0.908310115,0.400345236,0.691440761,-0.501313806,0.910170853,0.533466041,0.901102364,-0.236578688,0.938722074,0.410416663,0.877750218,-0.193915263,0.933763444,0.532831788,0.907157063,-0.218419582,0.752956867,0.416083574,0.898915231,-0.173407719,0.702216625,0.549216568,0.959992647,-0.454885036,0.926996529,0.401415139,0.946891069,-0.407029331,0.911611855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.468916655,0.377784371,-0.994615614,0.999966264,0.47633788,0.361262351,-0.969382644,0.999906182,0.480630845,0.359638274,-0.969419003,0.999880433,0.48863402,0.340150744,-0.969641924,0.999898016,0.46412161,0.356997997,-0.968899012,0.999857843,0.45970434,0.35599643,-0.969046831,0.999828756,0.455328375,0.354514956,-0.96913904,0.999841928,0.491946906,0.353238761,-0.784956694,0.999768794,0.445646256,0.353531092,-0.782964945,0.999508083,0.476552337,0.392242432,-0.922227085,0.999975681,0.460959613,0.391915053,-0.921729088,0.999967575,0.535042942,0.437817723,-0.624473751,0.999968827,0.404528946,0.427727908,-0.596910596,0.999888897,0.553736031,0.593076766,-0.670436442,0.976927936,0.386312366,0.59074688,-0.620041966,0.933417082,0.562494278,0.771436751,-0.780273378,0.905725777,0.387001306,0.77767092,-0.730479956,0.799019814,0.574027777,0.809773147,-0.83913219,0.815026104,0.375622004,0.824626386,-0.786573529,0.694437981,0.562410533,0.812825739,-0.869521618,0.828826845,0.394977003,0.824981153,-0.831531107,0.714454114,0.553521812,0.798105359,-0.795629323,0.811196208,0.401935875,0.807255745,-0.752565145,0.709187269,0.505494952,0.592723727,-0.006632933,0.999952376,0.431675971,0.592943311,0.006778887,0.999836147,0.521898806,0.723623693,-0.56262821,0.916046441,0.407664239,0.708580554,-0.504771471,0.90418148,0.53272599,0.905807555,-0.245442778,0.94199878,0.411284894,0.906461358,-0.185466424,0.928382516,0.535510659,0.933121145,-0.226808652,0.73417902,0.414807439,0.936882138,-0.165781409,0.689442337,0.549448431,0.964963794,-0.475237966,0.925953627,0.397806704,0.965715945,-0.408491224,0.903077185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.471518725,0.358158976,-0.717818737,0.999967873,0.480336636,0.339282781,-0.692161262,0.999902785,0.485067129,0.33815968,-0.692187905,0.999871016,0.487315923,0.337017983,-0.692364156,0.999893725,0.467845798,0.338307381,-0.694445252,0.999856889,0.462906301,0.330324203,-0.694589376,0.999825358,0.458105296,0.329341114,-0.694684803,0.99984467,0.490788549,0.336508453,-0.521271467,0.999733567,0.447339118,0.333902359,-0.533100009,0.999450505,0.478555709,0.369422555,-0.651461124,0.999979138,0.463658333,0.369420946,-0.655058742,0.999972045,0.534553289,0.436789155,-0.390552044,0.999954462,0.402824789,0.432195187,-0.407654315,0.999832809,0.552843988,0.585343659,-0.408108771,0.981493652,0.385146648,0.601507008,-0.434160888,0.936538517,0.564892471,0.773965359,-0.516155243,0.914388657,0.38679415,0.779129803,-0.537675083,0.807603836,0.573666573,0.810778975,-0.565400481,0.831216216,0.376838237,0.819698513,-0.587878764,0.712970197,0.560795248,0.814107239,-0.600097954,0.841064513,0.394861609,0.824846447,-0.630116582,0.728857696,0.551630735,0.800967515,-0.533291757,0.825340986,0.401259482,0.80804646,-0.557204485,0.719238877,0.503916025,0.616553605,0.002962449,0.999945164,0.429575413,0.619622469,-0.002940528,0.999832034,0.524279237,0.714507401,-0.576838553,0.934548497,0.411026448,0.70635885,-0.520203352,0.915254653,0.532439947,0.906030297,-0.266593724,0.947065234,0.412545204,0.922319591,-0.23569952,0.941868305,0.531172872,0.931190073,-0.244820252,0.762783766,0.415665239,0.938425004,-0.216462299,0.730550706,0.549996555,0.969613373,-0.462091565,0.932160974,0.397105366,0.975776017,-0.448874027,0.918074369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.473139137,0.330710143,-0.751219928,0.99996984,0.479959935,0.313175321,-0.716240048,0.999908864,0.483238488,0.313610882,-0.716236293,0.999876916,0.485580415,0.314074367,-0.716545165,0.999903619,0.471353352,0.311562359,-0.721606314,0.999868989,0.468846232,0.311335444,-0.721777081,0.999839783,0.458602816,0.303133786,-0.721950591,0.999867618,0.488544792,0.319469243,-0.552983105,0.999733865,0.447455585,0.315264553,-0.56140542,0.999439001,0.478960931,0.347334057,-0.686248362,0.999981046,0.467309058,0.343948901,-0.692245185,0.999974787,0.533254504,0.433803439,-0.429996192,0.999933898,0.403287798,0.428935766,-0.423412263,0.999790251,0.55003047,0.584292054,-0.455895692,0.977127135,0.385257453,0.600304425,-0.468530059,0.9256621,0.565989375,0.77216351,-0.57257539,0.888843477,0.388309658,0.777247488,-0.562889755,0.795733869,0.573838711,0.810114503,-0.6273247,0.795556724,0.378298402,0.821184337,-0.612866759,0.701733708,0.56177938,0.812175095,-0.661399424,0.806430221,0.394700319,0.823754728,-0.655311525,0.717893839,0.554069698,0.800283968,-0.590530097,0.795318246,0.402050942,0.810855687,-0.582588255,0.709154189,0.503385961,0.617667437,0.000443211,0.999944806,0.428280681,0.620238185,-0.000433047,0.999843121,0.523667932,0.71679765,-0.582187355,0.946669936,0.413203776,0.718282402,-0.503862739,0.925692201,0.533331156,0.913515389,-0.246368766,0.952794731,0.415560335,0.921611488,-0.188688517,0.950768411,0.533270717,0.939041376,-0.223037496,0.795681834,0.418034881,0.941634715,-0.167207211,0.766572952,0.550727069,0.971717536,-0.446446985,0.94136554,0.398620278,0.975798845,-0.402544409,0.931207657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.472375453,0.338449329,-0.836847246,0.999971271,0.479689538,0.319775552,-0.8096264,0.99990809,0.483574867,0.319066465,-0.809666991,0.999878526,0.486772537,0.319645435,-0.809837937,0.999903977,0.468306959,0.318300366,-0.810224354,0.999866247,0.463983655,0.316768467,-0.810371101,0.999840617,0.458330154,0.315099299,-0.810471773,0.999870062,0.491051316,0.321682513,-0.636188447,0.999729633,0.448568285,0.318040997,-0.639728189,0.999451458,0.479431838,0.353749305,-0.770842493,0.999981999,0.463747293,0.351240665,-0.771975398,0.999976158,0.533332288,0.432223082,-0.503512323,0.999938905,0.40272212,0.427849948,-0.492289871,0.99979949,0.549632668,0.584330916,-0.53188926,0.97948724,0.386057705,0.595831692,-0.508897781,0.938441873,0.566439509,0.771709859,-0.637842476,0.901399672,0.38829872,0.771698713,-0.602747619,0.825130284,0.574296892,0.809584677,-0.690147698,0.815044284,0.378525496,0.818867564,-0.651221693,0.7355479,0.562423944,0.811364472,-0.724147201,0.824583948,0.394576967,0.820680022,-0.694443643,0.750257313,0.555419147,0.799585044,-0.654589117,0.814150214,0.401682496,0.808724821,-0.622782707,0.741700649,0.503849566,0.613539636,0.000405524,0.999947608,0.427648395,0.615315676,-0.000390053,0.999846697,0.52323854,0.718517423,-0.54565841,0.957035065,0.410794705,0.725863397,-0.46875155,0.932710111,0.534148991,0.913210273,-0.219188392,0.960402727,0.4150123,0.919056654,-0.161190048,0.956499696,0.53431803,0.936801314,-0.197912171,0.815629601,0.417874515,0.940135419,-0.14150843,0.782472134,0.550865233,0.972682118,-0.423564732,0.94913429,0.398706913,0.976141989,-0.377276123,0.938397348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0.471712857,0.33979851,-0.891876101,0.999973774,0.479331464,0.322175384,-0.864182413,0.999910891,0.483489007,0.320821285,-0.864213586,0.999885619,0.487241626,0.320703954,-0.864385307,0.999907076,0.466779411,0.320509613,-0.864982843,0.999869466,0.461981148,0.318892479,-0.865147293,0.999848187,0.457635999,0.31885466,-0.86523962,0.999873877,0.492591441,0.320323616,-0.686147034,0.999747872,0.448371708,0.32115835,-0.691124856,0.999503791,0.47925666,0.354385167,-0.824174762,0.999983072,0.462049335,0.351350754,-0.825712562,0.999976993,0.533934176,0.429000199,-0.543019116,0.999947548,0.402691215,0.424899936,-0.536730409,0.999824047,0.549969614,0.579672873,-0.56240344,0.983131409,0.386501908,0.586663008,-0.55212599,0.95224601,0.566684544,0.767661929,-0.663639009,0.917546451,0.388109118,0.763931096,-0.644029975,0.855833948,0.574436188,0.803793669,-0.715373278,0.839655101,0.37764883,0.810987651,-0.692306459,0.77145493,0.562501669,0.805353761,-0.748266816,0.84773016,0.394398034,0.813034236,-0.735774457,0.784468472,0.555619657,0.794039905,-0.679886222,0.837126136,0.401430279,0.800406992,-0.66434896,0.776576757,0.508031666,0.598237932,-0.00237484,0.999949157,0.431118309,0.600177765,0.002419965,0.999842763,0.520125031,0.71515727,-0.526146054,0.959414124,0.412010968,0.732547879,-0.437043488,0.926208198,0.533999145,0.91061157,-0.187269852,0.96042192,0.414282978,0.918880939,-0.119611792,0.952273667,0.532562435,0.930374861,-0.164807767,0.821495533,0.417130232,0.93974191,-0.099346861,0.776530921,0.548841536,0.971353471,-0.385500908,0.948253393,0.398708969,0.97610414,-0.332748115,0.932250023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
